Sample File	P:\aerosols\private\Bret Hatzinger\Summer Work 2021\Internal Mixtures\0.1gL AmmSulf_Sucrose Internal Mix (6_7_21)\0.1gL AmmSulf_Sucrose Internal Mix (6_7_21).S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
Date	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21	06/07/21
Start Time	14:16:57	14:19:16	14:21:31	14:23:46	14:26:01	14:28:16	14:30:31	14:32:46	14:35:01	14:37:16	14:39:31	14:41:46	14:44:01	14:46:16	14:48:31	14:50:46	14:53:01	14:55:16	14:57:31	14:59:46	15:02:01	15:04:16	15:06:31	15:08:46	15:11:01	15:13:16	15:15:31	15:17:46	15:20:01	15:22:16	15:24:31	15:26:46	15:29:01	15:31:16	15:33:31	15:35:46	15:38:01	15:40:16	15:42:31	15:44:46	15:47:01	15:49:16	15:51:31	15:53:46	15:56:01	15:58:16	16:00:31	16:02:46	16:05:01	16:07:16	16:09:31	16:11:46	16:14:01	16:16:16
Diameter Midpoint
8.20	1.38628e+006	359136	684761	684761	684761	171190	1.02714e+006	342380	513571	764831	1.02714e+006	359136	936021	610396	234505	764831	342380	1.43284e+006	513571	513571	1.21509e+006	952777	187945	513571	513571	513571	855951	1.89985e+006	1.02714e+006	855951	1.09046e+006	684761	375891	872706	1.02714e+006	748076	855951	1.43284e+006	1.60403e+006	359136	1.02714e+006	855951	1.02714e+006	297820	513571	684761	342380	1.54071e+006	405696	1.66734e+006	405696	701516	684761	63315.1
8.51	931386	133055	509982	0	643037	1.01996e+006	532220	266110	532220	483010	532220	665275	1.2591e+006	992991	616065	859936	487743	483010	931386	1.15302e+006	776092	882175	643037	798330	931386	886908	376926	376926	399165	532220	837697	532220	1.0422e+006	1.41913e+006	509982	1.01523e+006	243871	460771	1.10381e+006	487743	776092	509982	776092	943780	487743	354688	532220	1.06444e+006	726881	1.07684e+006	349954	798330	1.30831e+006	1.01523e+006
8.82	418658	867770	841506	763105	466605	1.06833e+006	658441	732652	867770	867770	1.76599e+006	627987	811053	780599	1.15131e+006	540816	976968	1.39109e+006	466262	723882	959474	1.25597e+006	750145	1.63088e+006	1.0638e+006	379435	466605	1.33438e+006	763105	941981	963665	1.00289e+006	989928	767639	1.06414e+006	1.00289e+006	1.30392e+006	1.30392e+006	1.11209e+006	933211	1.1688e+006	750145	959474	885264	274770	662974	732652	688895	885264	645481	941981	837316	1.26016e+006	1.28643e+006
9.14	582892	932377	821968	787156	558664	1.00983e+006	287534	1.12315e+006	870426	1.14156e+006	1.07178e+006	832703	679656	953696	1.08251e+006	333081	956606	1.03697e+006	1.33508e+006	679656	811384	666163	666163	846197	1.19277e+006	765836	849107	762927	808475	1.08251e+006	779330	1.36714e+006	1.03697e+006	728114	1.66541e+006	991419	1.28678e+006	1.01565e+006	787156	1.3245e+006	811384	999244	1.08251e+006	953696	620615	582892	975919	1.11733e+006	975015	540254	811384	832703	1.50945e+006	891745
9.47	872760	1.10854e+006	848553	1.12996e+006	655698	1.0199e+006	902818	651465	969954	885630	902818	805625	1.77558e+006	889948	1.16704e+006	898500	1.04141e+006	1.73418e+006	1.45709e+006	1.49417e+006	458610	738490	562823	634277	1.04141e+006	878611	974272	902818	818495	952766	1.0172e+006	1.25992e+006	1.26424e+006	685756	1.1413e+006	1.30995e+006	567141	1.05428e+006	1.30563e+006	1.17568e+006	1.10422e+006	898500	1.30131e+006	1.12996e+006	512876	508558	1.19872e+006	898500	1.08704e+006	1.08002e+006	432871	1.0199e+006	831365	1.28844e+006
9.82	635978	854641	888347	748525	1.27006e+006	700175	680164	858804	1.02817e+006	1.05746e+006	1.11749e+006	745309	893458	909306	649673	923002	1.67463e+006	1.27517e+006	809507	1.43595e+006	932534	765321	744362	1.15214e+006	1.34126e+006	1.09653e+006	834629	1.17216e+006	1.17216e+006	764115	669684	1.08605e+006	1.13119e+006	802243	1.14261e+006	779963	1.04281e+006	1.00816e+006	913469	799975	913469	1.01769e+006	1.14166e+006	897880	615019	961819	1.18585e+006	1.14166e+006	953493	639193	1.05746e+006	1.1868e+006	1.30566e+006	1.08284e+006
 10.2	830346	875384	743442	853178	1.17416e+006	903935	920422	725033	862069	1.55855e+006	1.2839e+006	752961	1.28832e+006	1.23886e+006	1.03016e+006	1.07837e+006	1.33846e+006	1.13355e+006	948973	1.03016e+006	1.10692e+006	952146	1.37018e+006	895044	841115	1.23252e+006	985120	1.14561e+006	794826	1.30481e+006	968633	968633	1.34542e+006	1.18748e+006	821455	1.02699e+006	808140	695231	905186	1.18748e+006	1.13989e+006	997184	1.30356e+006	858897	974978	944505	1.11706e+006	669853	1.10057e+006	573432	1.15321e+006	959742	1.08471e+006	733301
