Sample File	P:\aerosols\private\Bret Hatzinger\Summer Work 2021\VOC Combinations\A-Pinene Combos\High\A-Pinene Carene 100.100.200ppb (7.14.21)\A-Pinene Carene 100.100.200ppb (7.14.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79
Date	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21	07/14/21
Start Time	09:34:40	09:36:58	09:39:13	09:41:28	09:43:43	09:45:58	09:48:13	09:50:28	09:52:43	09:54:59	09:57:14	09:59:29	10:01:44	10:03:59	10:06:14	10:08:29	10:10:44	10:12:59	10:15:14	10:17:29	10:19:44	10:21:59	10:24:14	10:26:29	10:28:44	10:30:59	10:33:14	10:35:29	10:37:44	10:39:59	10:42:14	10:44:29	10:46:44	10:48:59	10:51:14	10:53:29	10:55:44	10:57:59	11:00:14	11:02:29	11:04:44	11:06:59	11:09:14	11:11:29	11:13:44	11:15:59	11:18:14	11:20:29	11:22:44	11:24:59	11:27:14	11:29:29	11:31:44	11:33:59	11:36:14	11:38:29	11:40:44	11:42:59	11:45:14	11:47:29	11:49:44	11:51:59	11:54:14	11:56:29	11:58:44	12:00:59	12:03:14	12:05:29	12:07:44	12:09:59	12:12:14	12:14:29	12:16:44	12:18:59	12:21:14	12:23:29	12:25:44	12:27:59	12:30:14
Diameter Midpoint
8.20	0	0	0	0	0	0	171190	0	171190	171190	171190	171190	16755.2	0	16755.2	0	171190	171190	0	342380	0	171190	0	0	171190	171190	0	0	342380	0	171190	0	0	342380	342380	171190	0	171190	0	171190	16755.2	0	16755.2	342380	513571	0	171190	0	171190	171190	0	16755.2	0	0	0	0	0	171190	0	171190	513571	63315.1	204701	0	342380	0	171190	405696	0	0	16755.2	0	0	0	0	0	0	0	0
8.51	0	0	0	0	0	0	0	0	266110	0	0	0	0	133055	0	243871	0	0	0	133055	0	0	0	0	133055	243871	0	133055	133055	0	0	0	133055	0	133055	0	133055	133055	133055	133055	133055	133055	0	133055	0	0	266110	0	0	266110	0	0	0	0	0	0	133055	0	0	133055	133055	194661	0	266110	0	0	133055	83844.3	0	0	0	0	509982	0	0	0	0	0	0
8.82	0	0	0	0	0	0	0	104665	104665	0	0	0	0	0	0	17493.6	0	0	209329	104665	104665	104665	0	104665	0	17493.6	104665	0	0	104665	104665	104665	0	104665	0	0	0	30453.7	104665	104665	0	0	0	104665	209329	0	0	104665	0	104665	0	0	104665	104665	0	0	418658	0	104665	0	0	17493.6	0	0	0	0	0	313994	0	104665	104665	104665	17493.6	104665	0	0	104665	0	0
9.14	0	0	0	0	0	0	0	0	0	83270.3	83270.3	166541	0	83270.3	0	0	83270.3	83270.3	0	0	0	83270.3	0	0	83270.3	0	83270.3	83270.3	0	166541	83270.3	0	83270.3	0	0	0	83270.3	59041.6	0	0	0	0	249811	0	0	0	83270.3	0	0	0	0	0	0	83270.3	83270.3	61951.3	0	83270.3	0	0	0	0	0	0	145222	0	0	83270.3	0	83270.3	0	83270.3	0	0	0	0	0	0	0
9.47	0	0	0	0	0	67135.4	134271	0	134271	0	67135.4	134271	0	0	0	0	0	0	67135.4	0	67135.4	134271	0	0	67135.4	0	0	67135.4	0	0	0	0	0	67135.4	67135.4	67135.4	0	0	0	268542	0	0	67135.4	0	0	67135.4	67135.4	67135.4	134271	0	80005.3	67135.4	0	67135.4	0	84323.6	134271	67135.4	0	0	67135.4	0	0	0	84323.6	0	67135.4	0	67135.4	0	67135.4	0	0	0	0	0	67135.4	67135.4	0
9.82	0	0	0	0	0	54665.8	34654.2	109332	0	109332	0	0	0	0	0	0	0	0	0	89319.9	54665.8	54665.8	0	0	34654.2	54665.8	0	54665.8	0	0	54665.8	54665.8	0	0	0	0	0	54665.8	0	54665.8	54665.8	54665.8	54665.8	34654.2	54665.8	0	0	54665.8	0	0	133506	0	109332	0	54665.8	34654.2	0	0	0	54665.8	54665.8	0	0	0	0	0	0	0	54665.8	54665.8	0	0	0	34654.2	0	0	54665.8	0	0
 10.2	0	0	0	0	0	90076.2	16487.2	0	0	45038.1	0	0	3172.74	0	0	0	0	0	0	16487.2	0	0	45038.1	0	16487.2	0	0	0	45038.1	0	0	0	0	45038.1	0	0	0	0	45038.1	0	0	0	45038.1	16487.2	0	0	0	0	0	45038.1	16487.2	0	45038.1	0	0	16487.2	0	45038.1	0	0	0	0	0	0	0	0	90076.2	3172.74	0	0	0	0	0	16487.2	0	3172.74	0	0	0
 10.6	0	0	0	0	0	37428.7	0	74857.5	0	0	37428.7	0	34792	0	0	0	0	0	0	37428.7	0	0	0	0	0	0	0	37428.7	112286	0	37428.7	37428.7	0	0	37428.7	0	0	0	74857.5	74857.5	37428.7	74857.5	37428.7	37428.7	0	0	0	0	37428.7	0	0	0	0	18753	0	0	0	0	0	0	0	0	0	0	37428.7	0	0	34792	37428.7	0	0	37428.7	0	0	0	34792	0	0	0
 10.9	0	0	0	0	0	94081.9	62721.2	0	62721.2	0	0	29022.9	0	31360.6	31360.6	0	31360.6	31360.6	0	0	31360.6	0	31360.6	0	0	31360.6	0	0	0	0	0	0	0	62721.2	0	0	0	31360.6	0	0	0	31360.6	0	0	31360.6	0	0	0	0	0	0	0	0	15647.9	0	31360.6	0	29022.9	0	0	0	0	0	0	62721.2	0	31360.6	31360.6	0	31360.6	31360.6	0	31360.6	0	0	0	0	31360.6	0
 11.3	0	0	0	0	0	159219	26536.5	0	0	0	26536.5	1978.16	53073	0	0	0	26536.5	26536.5	26536.5	26536.5	0	53073	26536.5	26536.5	0	53073	26536.5	26536.5	0	0	0	0	26536.5	26536.5	0	0	0	0	26536.5	0	0	0	0	0	0	0	0	0	26536.5	0	0	0	0	0	0	0	0	1978.16	0	0	9114.63	0	26536.5	26536.5	0	0	53073	0	0	0	0	0	0	0	0	0	0	26536.5	0
 11.8	0	0	0	0	0	67846.7	67846.7	22615.6	22615.6	0	17071.2	0	45231.2	0	0	0	0	17071.2	22615.6	0	0	45231.2	17071.2	22615.6	0	0	0	0	22615.6	0	0	0	22615.6	0	0	0	45231.2	0	0	0	22615.6	45231.2	0	0	0	0	22615.6	0	22615.6	0	0	0	0	22615.6	0	22615.6	0	0	22615.6	0	37463.3	0	0	22615.6	0	22615.6	0	0	0	0	22615.6	0	22615.6	0	0	22615.6	0	0	0
 12.2	0	0	0	0	0	38809.4	100114	19404.7	0	22495.7	4757.24	0	58214.1	19404.7	19404.7	0	0	4757.24	0	0	0	38809.4	4757.24	3091.01	0	0	0	19404.7	0	0	0	0	0	0	0	19404.7	0	0	0	19404.7	0	0	19404.7	38809.4	19404.7	3091.01	0	0	0	0	19404.7	0	0	0	0	0	19404.7	0	19404.7	0	19404.7	19404.7	0	0	0	0	0	0	0	0	0	0	0	19404.7	0	0	0	0	19404.7
 12.6	0	0	0	0	0	67151.7	47689.6	0	0	14113.7	16787.9	0	93283.1	0	0	0	0	0	0	0	16787.9	0	0	14113.7	0	0	0	16787.9	16787.9	16787.9	16787.9	0	0	16787.9	0	0	16787.9	16787.9	16787.9	0	0	0	0	0	0	14113.7	16787.9	16787.9	16787.9	0	0	16787.9	0	0	16787.9	0	0	0	0	16787.9	0	16787.9	16787.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 13.1	0	0	0	14636.4	0	146364	73181.9	43909.1	14636.4	0	0	0	34978	14636.4	14636.4	14636.4	0	0	0	0	0	0	0	0	0	14636.4	29272.7	0	14636.4	0	0	14636.4	0	0	0	0	0	0	0	13851.2	0	0	0	0	0	0	0	14636.4	0	14636.4	14636.4	0	14636.4	0	0	14636.4	0	14636.4	0	0	0	0	0	14636.4	0	0	0	0	0	0	0	0	14636.4	0	0	14636.4	14636.4	0	0
 13.6	0	0	0	0	0	55436.6	12807.7	12807.7	4205.98	12807.7	25615.3	0	39110	0	12807.7	12807.7	12807.7	0	0	0	0	0	12807.7	0	0	0	0	0	0	0	0	0	0	25615.3	12807.7	0	38423	12807.7	0	687.04	12807.7	0	12807.7	0	12807.7	0	12807.7	0	0	0	0	0	12807.7	12807.7	0	0	0	12807.7	0	0	0	0	0	0	0	0	0	0	0	12807.7	0	0	25615.3	12807.7	0	12807.7	12807.7	0	0
 14.1	0	0	0	0	0	128361	90283.9	67712.9	18864.9	22571	0	22571	33856.5	22571	22571	0	0	0	0	11285.5	0	0	0	0	0	0	0	11285.5	0	0	0	0	11285.5	0	0	0	0	0	0	0	0	0	0	7926.57	11285.5	0	0	0	11285.5	0	0	0	11285.5	0	0	0	0	0	0	22571	11285.5	0	0	0	0	0	0	0	0	0	0	0	0	22571	0	0	0	0	0
 14.6	0	0	0	0	0	64287.2	29977.5	0	0	0	9992.49	10671.6	49962.5	49962.5	0	0	0	0	0	0	9992.49	679.078	0	0	0	9992.49	0	0	0	0	0	0	0	9992.49	9992.49	9992.49	0	0	9992.49	0	0	9992.49	0	2974.08	0	0	9992.49	0	0	0	0	679.078	0	0	0	9992.49	0	0	0	0	679.078	0	0	0	0	0	0	0	9992.49	0	0	0	0	0	0	0	0	0	0
