Sample File	P:\aerosols\private\Bret Hatzinger\Summer Work 2021\Sample Data Generation for Guillermo (6_2_21)\HTDMA 0.1gL AmmSulf 200nmPSL Sample Peaks\HTDMA 0.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
Date	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21	07/15/21
Start Time	09:37:06	09:39:24	09:41:39	09:43:54	09:46:09	09:48:24	09:50:39	09:52:54	09:55:09	09:57:24	09:59:39	10:01:54	10:04:09	10:06:24	10:08:39	10:10:54	10:13:09	10:15:24	10:17:39	10:19:54	10:22:09	10:24:24	10:26:39	10:28:54	10:31:09	10:33:24	10:35:39	10:37:54	10:40:09	10:42:24	10:44:39	10:46:54	10:49:09	10:51:24	10:53:39	10:55:54	10:58:09	11:00:24	11:02:39	11:04:54	11:07:09	11:09:24	11:11:39	11:13:54	11:16:09	11:18:24	11:20:39	11:22:54	11:25:09	11:27:24	11:29:39	11:31:54	11:34:09	11:36:25	11:38:40	11:40:55	11:43:10	11:45:25	11:47:40	11:49:55	11:52:10	11:54:25	11:56:40	11:58:55	12:01:10	12:03:25	12:05:40	12:07:55	12:10:10	12:12:25	12:14:40
Diameter Midpoint
 14.6	762.813	19290	13808.7	2271.13	757.042	2271.13	312.045	312.045	2583.17	5302.18	6371.27	7131.19	3785.21	8639.51	5299.29	2274.01	4542.25	4097.25	3031.05	5166.34	3028.17	5611.34	4854.3	2583.17	1514.08	3028.17	3028.17	1069.09	2895.22	3785.21	1514.08	0	3785.21	2138.17	1514.08	4409.3	3028.17	2271.13	2583.17	3785.21	757.042	3031.05	3028.17	1381.13	2271.13	2583.17	0	2138.17	1826.13	4542.25	0	757.042	1069.09	1514.08	757.042	1514.08	312.045	2271.13	757.042	1069.09	0	1514.08	1514.08	1826.13	3028.17	1514.08	757.042	6371.27	757.042	5611.34	3028.17
 15.1	8626.54	33035.6	31282.3	6305.18	4379.16	5707.1	5274.48	2618.6	6734.2	23223.7	7464.06	11579.7	12610.4	20469.8	11282.4	7298.6	11546	9521.86	8231.2	13002.1	10684.3	12573.1	11447.9	4808.18	6903.26	4977.24	7896.68	6997.76	8754.72	4977.24	7166.82	4379.16	5707.1	9089.23	5109.02	7163.22	10289	5838.88	9785.42	13005.7	5109.02	8758.32	5109.02	9484.58	10086.3	9785.42	5838.88	8359.37	8528.43	8626.54	729.86	0	3084.9	2787.66	2189.58	6173.4	6004.34	4379.16	0	4808.18	4115.6	2057.8	5707.1	5538.04	729.86	4977.24	5838.88	4078.32	3517.52	3216.68	3649.3
 15.7	7162.04	55579.9	46730.8	5484.72	3670.59	4348.03	10103.1	5781.09	13070.2	31143	7289.06	17301	25896.1	16317.3	12340.6	16486.7	17867.6	18978.3	16841.7	17994.7	16740.7	19401.7	19935.8	7035.01	9832.75	7865.54	6611.62	12969.2	8171.7	11383	9578.71	8595.1	6061.2	9103.19	10705.6	5882.05	8741.71	9145.52	6061.2	11138.8	14070	12112.6	12816.1	14503.2	6611.62	12790	10002.1	16291.3	13053.9	11689.2	0	1407	7289.06	1534.02	1407	5305.58	2517.63	2814.01	2263.59	2110.5	2670.72	5755.03	5051.53	4924.51	9145.52	5755.03	6637.68	10002.1	12086.5	11383	7188.1
 16.3	8813.92	44266.7	37922.6	5806.88	4331.51	6101.95	5157.03	7454.56	7988.4	27492.6	10169.9	15681.7	21657.5	16795.6	11525.9	19922	13289.6	15854	18980.5	20069.5	21400.7	21569.7	19777.8	5301.19	11908.8	8135.93	6632.41	15298.8	13264.8	9636.07	7840.86	7988.4	9607.93	7454.56	8810.54	10458.2	10904.2	8813.92	11519.1	8782.4	12881.9	7988.4	13145.4	12319.9	5954.41	5835.03	11522.5	15443	9460.39	13409	2033.98	3389.97	5423.95	4067.96	3123.05	4479.04	3653.51	4067.96	8132.55	4067.96	2416.91	6657.18	5423.95	5423.95	6101.95	7457.93	7162.87	9755.46	8135.93	10847.9	7988.4
 16.8	7830.6	41736.1	53218.7	5870.53	4821.04	9800.34	7444.14	5731.61	6523.89	27638.9	10453.7	22214.1	25421.6	20600.5	16919.5	15126.1	15789.2	21025.7	18126	16423.2	23501.5	23442.2	22461.7	3365.73	7830.6	13028.4	13028.4	10444	9127.63	9642.07	6523.89	12394.4	10691.6	12918.5	17453.3	9503.16	12651.6	15670.9	10175.9	17888.2	16314.6	11750.7	10701.2	14611.7	10434.3	12661.3	11602.1	15541.6	17215.5	16175.6	1306.71	3910.46	5207.5	3920.14	2860.97	2207.61	3524	5226.85	3781.22	3920.14	5226.85	6651.86	3910.46	6504.53	7820.92	5217.17	7830.6	6137.42	5226.85	3920.14	9137.31
 17.5	13917.9	49715.7	44264.7	4645.53	5052.89	8418.86	8418.86	8428.2	11580.4	45283.9	10717.5	22550.5	25740.1	19387.5	18387.1	24014.4	19368.8	18098.6	20018	25061.5	21715.7	24459.1	26342.5	7584	7613.49	15798.4	13315.5	11396.1	12035.9	6546.2	13287.5	13704.2	15149.3	11173.1	13732.2	15779.8	10105.8	12026.6	9272.39	15770.4	12035.9	13694.8	13694.8	15818.6	14111.5	22113.7	14334.6	16653.5	17088.8	15595.5	630.444	5275.98	3209.71	5897.08	3384.64	4238.18	5043.55	4005.75	5043.55	6304.44	6304.44	6120.17	6313.78	7185.98	9475.33	8428.2	8428.2	10940.6	12424.6	9456.66	11580.4
 18.1	8911.66	49051.3	52661	7775.09	8340.83	2826.2	6300.7	8733.87	11167	38370	9124.36	34277.1	26554.6	18076	15427.6	20902.2	19467.9	24334.2	20333.9	21292.7	32151.8	23633.2	36545.1	11031.8	10736.5	7732.54	13602.7	12210.9	11520.1	12816.7	8561.17	18076	13031.9	12343.6	19199.9	14599	15207.3	12994.5	26674.7	14248.5	15778.1	17117.2	10518.7	12736.6	17249.9	19427.8	15467.6	15995.9	17252.5	21375.3	866.095	2475.72	6478.5	4042.79	4042.79	5477.17	5299.37	3434.49	9990.45	4866.33	4258.03	2610.96	8340.83	6909	10165.7	12383.6	8383.38	6475.95	10343.5	13815.4	15425.1
