Sample File	C:\TSI\Aerosol Instrument Manager\Sodium Chloride_low flow.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3776 Low Flow
Reference Gas Viscosity (Pa*s)	1.8203e-005
Reference Mean Free Path (m)	6.65e-008
Reference Gas Temperature (K)	293.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	FALSE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	FALSE
Units	dw/dlogDp
Weight	Number
Sample #	1
Date	08/11/05
Start Time	15:04:41
Diameter Midpoint
 15.1	0
 15.7	0
 16.3	0
 16.8	0
 17.5	0
 18.1	0
 18.8	0
 19.5	0
 20.2	0
 20.9	507.205
 21.7	490.521
 22.5	0
 23.3	0
 24.1	1773.43
 25.0	2583.3
 25.9	2092.3
 26.9	7787.82
 27.9	9523.53
 28.9	19246.1
 30.0	25544.9
 31.1	45699.5
 32.2	61755.6
 33.4	81944
 34.6	121849
 35.9	142147
 37.2	204736
 38.5	273675
 40.0	385910
 41.4	478067
 42.9	635232
 44.5	789552
 46.1	980579
 47.8	1.21827e+006
 49.6	1.4902e+006
 51.4	1.83761e+006
 53.3	2.28579e+006
 55.2	2.73716e+006
 57.3	3.31744e+006
 59.4	3.90737e+006
 61.5	4.5372e+006
 63.8	5.37681e+006
 66.1	6.16951e+006
 68.5	7.1389e+006
 71.0	8.19752e+006
 73.7	9.38316e+006
 76.4	1.05875e+007
 79.1	1.16887e+007
 82.0	1.27184e+007
 85.1	1.37715e+007
 88.2	1.48708e+007
 91.4	1.57721e+007
 94.7	1.6544e+007
 98.2	1.72618e+007
101.8	1.77675e+007
105.5	1.81091e+007
109.4	1.82921e+007
113.4	1.86507e+007
117.6	1.87168e+007
121.9	1.86752e+007
126.3	1.88347e+007
131.0	1.88034e+007
135.8	1.87055e+007
140.7	1.87006e+007
145.9	1.85703e+007
151.2	1.82697e+007
156.8	1.82352e+007
162.5	1.78646e+007
168.5	1.75981e+007
174.7	1.73498e+007
181.1	1.70598e+007
187.7	1.66673e+007
194.6	1.61774e+007
201.7	1.57564e+007
209.1	1.53706e+007
216.7	1.47843e+007
224.7	1.40376e+007
232.9	1.33921e+007
241.4	1.28199e+007
250.3	1.21838e+007
259.5	1.13727e+007
269.0	1.08709e+007
278.8	1.00284e+007
289.0	9.2461e+006
299.6	8.48443e+006
310.6	7.69876e+006
322.0	7.01402e+006
333.8	6.3488e+006
346.0	5.67559e+006
358.7	4.95814e+006
371.8	4.444e+006
385.4	3.90007e+006
399.5	3.31045e+006
414.2	2.87461e+006
429.4	2.42757e+006
445.1	2.06559e+006
461.4	1.79296e+006
478.3	1.53247e+006
495.8	1.31446e+006
514.0	1.08644e+006
532.8	945999
552.3	791781
572.5	704966
593.5	601553
615.3	511382
637.8	443164
661.2	380420
Scan Up Time(s)	120
Retrace Time(s)	15
Down Scan First	FALSE
Scans Per Sample	1
Impactor Type(cm)	None
Sheath Flow(lpm)	3
Aerosol Flow(lpm)	0.3
CPC Inlet Flow(lpm)	0.3
CPC Sample Flow(lpm)	0.05
Low Voltage	10.7719
High Voltage	9558.91
Lower Size(nm)	14.8551
Upper Size(nm)	673.17
Density(g/cc)	1.2
Title	
Status Flag	Normal Scan
td(s)	3.43
tf(s)	7.52082
D50(nm)	1000
Median(nm)		144.261
Mean(nm)	167.937
Geo. Mean(nm)	147.39
Mode(nm)	126.346
Geo. Std. Dev.	1.65965
Total Concentration(#/cm³)	1.13641e+007
Raw Data - Time(s)	Diameter #1	Counts #1	
0.1	10.890653	0	
0.2	10.921781	0	
0.3	10.952890	0	
0.4	10.984303	0	
0.5	11.015702	0	
0.6	11.047084	0	
0.7	11.078663	0	
0.8	11.110443	0	
0.9	11.142099	0	
1.0	11.173954	0	
1.1	11.206011	0	
1.2	11.238053	0	
1.3	11.270076	0	
1.4	11.302412	0	
1.5	11.334734	0	
1.6	11.367037	0	
1.7	11.399656	0	
1.8	11.432260	0	
1.9	11.464846	0	
2.0	11.497749	0	
2.1	11.530637	0	
2.2	11.563508	0	
2.3	11.596698	0	
2.4	11.629875	0	
2.5	11.663032	0	
2.6	11.696513	0	
2.7	11.729979	0	
2.8	11.763426	0	
2.9	11.797200	0	
3.0	11.830958	0	
3.1	11.864698	0	
3.2	11.898767	0	
3.3	11.932704	0	
3.4	11.966854	0	
3.5	12.001222	0	
3.6	12.035456	0	
3.7	12.069905	0	
3.8	12.104574	0	
3.9	12.139107	0	
4.0	12.173975	0	
4.1	12.208830	0	
4.2	12.243664	0	
4.3	12.278839	0	
4.4	12.313878	0	
4.5	12.349137	0	
4.6	12.384620	0	
4.7	12.419965	0	
4.8	12.455654	0	
4.9	12.491328	0	
5.0	12.526982	0	
5.1	12.562984	0	
5.2	12.598847	0	
5.3	12.635058	0	
5.4	12.671254	0	
5.5	12.707431	0	
5.6	12.743960	0	
5.7	12.780349	0	
5.8	12.816965	0	
5.9	12.853816	0	
6.0	12.890523	0	
6.1	12.927587	0	
6.2	12.964509	0	
6.3	13.001788	0	
6.4	13.039054	0	
6.5	13.076298	0	
6.6	13.113906	0	
6.7	13.151370	0	
6.8	13.189196	0	
6.9	13.227008	0	
7.0	13.264798	0	
7.1	13.302958	0	
7.2	13.340971	0	
7.3	13.379352	0	
7.4	13.417588	0	
7.5	13.456193	0	
7.6	13.494784	0	
7.7	13.533354	0	
7.8	13.572300	0	
7.9	13.611096	0	
8.0	13.650269	0	
8.1	13.689294	0	
8.2	13.728694	0	
8.3	13.767948	0	
8.4	13.807446	0	
8.5	13.847196	0	
8.6	13.886792	0	
8.7	13.926773	0	
8.8	13.966602	0	
8.9	14.006817	0	
9.0	14.046880	0	
9.1	14.087329	0	
9.2	14.127627	0	
9.3	14.168313	0	
9.4	14.208985	0	
9.5	14.249634	0	
9.6	14.290681	0	
9.7	14.331570	0	
9.8	14.372856	0	
9.9	14.413985	0	
10.0	14.455513	0	
10.1	14.496884	0	
10.2	14.538655	0	
10.3	14.580268	0	
10.4	14.622283	0	
10.5	14.664142	0	
10.6	14.706403	0	
10.7	14.748507	0	
10.8	14.791016	0	
10.9	14.833368	0	
11.0	14.876125	0	
11.1	14.918870	0	
11.2	14.961591	0	
11.3	15.004730	0	
11.4	15.047702	0	
11.5	15.091094	0	
11.6	15.134318	0	
11.7	15.177965	0	
11.8	15.221444	0	
11.9	15.265347	0	
12.0	15.309081	0	
12.1	15.353242	0	
12.2	15.397233	0	
12.3	15.441654	0	
12.4	15.485903	0	
12.5	15.530585	0	
12.6	15.575095	0	
12.7	15.620040	0	
12.8	15.664811	0	
12.9	15.710020	0	
13.0	15.755055	0	
13.1	15.800530	0	
13.2	15.845829	0	
13.3	15.891420	0	
13.4	15.937292	0	
13.5	15.982997	0	
13.6	16.029139	0	
13.7	16.075113	0	
13.8	16.121528	0	
13.9	16.167772	0	
14.0	16.214460	0	
14.1	16.260977	0	
14.2	16.307940	0	
14.3	16.354730	0	
14.4	16.401971	0	
14.5	16.449036	0	
14.6	16.496557	0	
14.7	16.543898	0	
14.8	16.591700	0	
14.9	16.639319	0	
15.0	16.687404	0	
15.1	16.735464	0	
15.2	16.783511	0	
15.3	16.832017	0	
15.4	16.880346	0	
15.5	16.929139	0	
15.6	16.977752	0	
15.7	17.026834	0	
15.8	17.075733	0	
15.9	17.125107	0	
16.0	17.174293	0	
16.1	17.223795	0	
16.2	17.273601	0	
16.3	17.323229	0	
16.4	17.373332	0	
16.5	17.423251	0	
16.6	17.473651	0	
16.7	17.523864	0	
16.8	17.574564	0	
16.9	17.625073	0	
17.0	17.675905	0	
17.1	17.727050	0	
17.2	17.778012	0	
17.3	17.829462	0	
17.4	17.880723	0	
17.5	17.932480	0	
17.6	17.984043	0	
17.7	18.035936	0	
17.8	18.088148	0	
17.9	18.140174	0	
18.0	18.192698	0	
18.1	18.245030	0	
18.2	18.297868	0	
18.3	18.350682	0	
18.4	18.403483	0	
18.5	18.456787	0	
18.6	18.509899	0	
18.7	18.563522	0	
18.8	18.616946	0	
18.9	18.670712	0	
19.0	18.724808	0	
19.1	18.778713	0	
19.2	18.833133	0	
19.3	18.887354	0	
19.4	18.942101	0	
19.5	18.996823	0	
19.6	19.051531	0	
19.7	19.106763	0	
19.8	19.161793	0	
19.9	19.217355	0	
20.0	19.272893	0	
20.1	19.328418	0	
20.2	19.384473	0	
20.3	19.440325	0	
20.4	19.496717	0	
20.5	19.553084	0	
20.6	19.609437	0	
20.7	19.666330	0	
20.8	19.723015	0	
20.9	19.780061	0	
21.0	19.837459	0	
21.1	19.894654	0	
21.2	19.952398	0	
21.3	20.009928	0	
21.4	20.067828	0	
21.5	20.126085	0	
21.6	20.184134	0	
21.7	20.242743	0	
21.8	20.301327	0	
21.9	20.359898	0	
22.0	20.419029	0	
22.1	20.477944	0	
22.2	20.537236	0	
22.3	20.596894	0	
22.4	20.656340	0	
22.5	20.716359	0	
22.6	20.776353	0	
22.7	20.836334	0	
22.8	20.896889	1	
22.9	20.957421	0	
23.0	21.017942	0	
23.1	21.079038	0	
23.2	21.139915	0	
23.3	21.201180	0	
23.4	21.262822	0	
23.5	21.324247	0	
23.6	21.386264	0	
23.7	21.448255	0	
23.8	21.510235	0	
23.9	21.572806	0	
24.0	21.635355	0	
24.1	21.697893	0	
24.2	21.761026	0	
24.3	21.823931	1	
24.4	21.887238	0	
24.5	21.950937	0	
24.6	22.014409	0	
24.7	22.078286	0	
24.8	22.142557	0	
24.9	22.206602	0	
25.0	22.271054	0	
25.1	22.335902	0	
25.2	22.400524	0	
25.3	22.465557	0	
25.4	22.530988	0	
25.5	22.596193	0	
25.6	22.661812	0	
25.7	22.727833	0	
25.8	22.793626	0	
25.9	22.859836	0	
26.0	22.926452	0	
26.1	22.992839	0	
26.2	23.059646	0	
26.3	23.126863	0	
26.4	23.193850	0	
26.5	23.261260	0	
26.6	23.329083	0	
26.7	23.396675	0	
26.8	23.464694	0	
26.9	23.533130	0	
27.0	23.601332	0	
27.1	23.669966	0	
27.2	23.739022	0	
27.3	23.807839	0	
27.4	23.877094	0	
27.5	23.946775	0	
27.6	24.016214	0	
27.7	24.086095	1	
27.8	24.156408	0	
27.9	24.226702	0	
28.0	24.296989	0	
28.1	24.367939	1	
28.2	24.438870	0	
28.3	24.509792	1	
28.4	24.581387	1	
28.5	24.652961	0	
28.6	24.724524	0	
28.7	24.796538	2	
28.8	24.868993	1	
28.9	24.941203	0	
29.0	25.013871	0	
29.1	25.086985	0	
29.2	25.159849	0	
29.3	25.233176	2	
29.4	25.306957	0	
29.5	25.380719	1	
